"birth_year","male","poverty","family_income","weeks_unemployed","urban","number_of_jobs_ever","number_children","age_at_first_child","hours_worked_in_week","education","educational_loans"
1962,0,0,101234,0,1,10,3,27,3,4,8000
1959,1,0,241000,0,1,9,4,30,50,4,NA
1957,0,0,160000,2,1,11,1,27,NA,4,4800
1959,1,0,13200,21,1,12,2,32,40,2,NA
1963,0,1,63500,0,1,19,2,28,95,1,1500
1961,1,0,190500,0,1,6,3,33,45,5,11900
1963,0,0,86000,0,1,15,2,27,56,4,10000
1958,0,NA,47480,0,1,NA,1,22,40,1,NA
1961,0,NA,33952,0,1,4,4,17,30,1,NA
1957,0,NA,86200,0,1,13,2,33,40,5,4000
1961,0,0,79200,0,1,6,1,21,40,1,NA
1963,1,0,66560,0,1,NA,3,23,40,1,NA
1957,0,0,15000,0,1,6,1,20,NA,1,NA
1964,0,1,65080,0,1,NA,2,25,80,2,NA
1961,1,1,86000,0,1,6,2,26,40,1,NA
1959,1,0,78892,0,1,NA,1,25,50,1,NA
1960,1,0,122000,0,1,5,1,29,NA,1,NA
1963,1,0,48140,0,1,9,3,20,40,1,NA
1958,0,NA,280000,0,0,9,1,22,40,2,NA
1959,1,0,68017,0,0,5,2,32,50,4,NA
1960,1,NA,240000,0,1,13,2,31,NA,1,NA
1957,0,0,139000,0,1,NA,3,31,24,4,NA
1963,1,1,21600,0,1,18,2,21,NA,1,NA
1962,0,1,11000,0,1,13,2,18,20,2,22000
1963,1,0,149000,0,0,6,2,33,40,5,11000
1959,0,NA,142500,21,1,16,1,30,15,5,2500
1962,1,0,170400,0,1,20,2,32,50,4,2400
1962,0,0,108000,0,0,NA,2,26,35,3,10000
1958,1,0,390662,0,1,NA,2,25,40,1,NA
1962,1,0,170000,0,1,15,2,34,8,4,NA
1957,0,0,101614,0,1,3,2,32,30,1,NA
1964,1,0,155000,0,1,13,3,27,50,1,500
1958,1,0,142760,0,1,15,3,36,60,4,2500
1961,1,0,168000,0,1,10,2,32,80,4,2500
1959,1,NA,120900,0,1,10,1,27,55,3,NA
1961,0,NA,185000,0,1,15,2,25,59,1,2500
1963,1,NA,1,0,1,NA,2,31,120,4,10000
1958,0,0,135004,0,1,6,1,32,25,3,NA
1959,0,0,68064,0,1,NA,3,26,8,2,NA
1961,0,0,209240,0,1,NA,2,18,40,1,NA
1960,1,1,46000,0,1,NA,1,32,65,1,NA
1962,1,1,81000,0,1,NA,2,19,62,1,NA
1961,0,0,46050,0,1,7,3,25,39,1,NA
1962,0,0,84400,0,1,11,2,24,60,8,7500
1963,0,0,54000,0,1,10,2,18,50,1,NA
1962,1,0,106000,0,1,4,1,37,40,8,NA
1961,0,0,104500,0,1,11,1,28,45,4,4500
1958,0,NA,21000,0,1,2,1,23,40,1,NA
1959,0,0,80000,0,1,8,2,31,50,2,NA
1963,0,0,221000,0,1,15,2,31,48,5,17000
1960,1,0,51515,24,0,10,1,23,78,1,NA
1964,0,1,28951,0,1,6,1,23,30,1,NA
1963,1,0,34500,19,1,31,2,35,72,1,NA
1964,1,0,35000,0,0,17,2,25,80,3,18500
1957,1,0,1,0,1,NA,2,30,70,7,12000
1960,0,0,195000,0,1,22,2,34,140,8,23000
1957,0,NA,19800,0,0,9,2,18,32,1,NA
1957,0,NA,31914,26,1,NA,1,22,60,1,NA
1958,0,NA,66000,0,0,NA,2,23,11,2,1500
1958,1,0,77000,0,1,NA,1,33,40,5,NA
1960,0,NA,42000,0,1,8,2,27,40,2,NA
1957,0,0,24102,0,1,1,2,23,38,1,NA
1961,0,0,178350,0,1,8,2,32,40,4,13500
1964,1,0,127100,0,0,30,2,43,6,3,5000
1958,0,0,28000,52,1,NA,1,22,80,1,NA
1964,1,0,45000,0,0,NA,3,20,70,1,NA
1960,1,0,60100,0,1,10,2,32,50,4,6500
1963,0,0,169000,0,1,7,3,27,38,5,15000
1960,0,NA,110100,0,1,7,1,35,64,5,7500
1963,0,0,65700,NA,1,11,1,20,39,1,NA
1960,0,0,59952,52,1,12,1,24,NA,3,NA
1958,1,NA,182800,0,1,5,2,30,45,3,5000
1959,0,NA,40556,0,1,4,1,19,NA,1,NA
1961,0,NA,32000,0,1,6,3,28,40,1,NA
1964,0,0,70366,0,1,11,1,25,NA,1,NA
1963,1,0,140900,0,1,10,2,21,64,8,4500
1957,1,0,120100,0,1,5,1,30,40,8,2500
1959,1,0,497763,0,1,12,1,28,50,4,2000
1957,1,0,260350,0,1,4,2,32,NA,1,NA
1962,0,0,72300,0,1,16,1,17,22,1,NA
1963,1,NA,75100,0,1,9,1,26,50,1,NA
1961,1,0,69020,0,1,15,3,30,NA,1,NA
1957,1,0,16480,15,1,NA,1,22,40,2,NA
1961,0,0,108270,0,1,8,3,27,84,1,NA
1964,1,0,70000,0,1,15,1,36,NA,1,2620
1958,0,0,109000,0,1,NA,2,26,40,2,NA
1960,0,0,33200,0,1,5,1,25,40,4,15000
1959,1,0,32300,0,1,NA,3,22,40,1,NA
1963,0,0,159600,0,1,15,2,35,40,5,1600
1960,1,0,103030,0,1,3,1,28,45,8,NA
1963,1,0,28040,0,1,NA,2,20,40,4,2500
1961,1,1,105200,0,1,4,1,27,45,1,700
1964,0,0,35000,0,1,NA,2,22,20,3,NA
1963,1,1,1,0,0,13,4,28,NA,1,1000
1958,1,0,116581,9,1,6,3,25,130,4,2500
1962,0,0,37000,0,1,NA,1,15,120,1,NA
1963,1,0,119000,0,1,20,1,35,80,2,1500
1960,0,NA,36000,0,1,NA,2,33,60,2,1800
1958,0,0,52000,0,1,NA,3,24,20,1,NA
1960,0,0,99000,0,1,8,1,33,40,1,2700
1962,0,0,92250,0,1,16,2,19,20,1,NA
1961,1,NA,91788,8,1,8,2,30,40,1,NA
1961,1,0,121224,0,1,13,1,34,40,4,8000
1963,1,0,168476,0,1,7,2,26,40,5,NA
1957,1,0,189000,0,1,NA,3,33,65,5,700
1962,1,0,92000,0,1,13,3,40,40,5,5000
1958,0,NA,114050,0,1,NA,1,20,24,1,NA
1963,0,0,1e+05,0,1,11,2,30,20,2,NA
1964,1,NA,179000,0,1,7,2,24,50,4,15000
1964,1,NA,85000,0,1,18,2,28,88,1,NA
1961,0,NA,134280,0,1,NA,1,25,40,1,NA
1957,1,NA,30010,0,1,NA,7,25,44,4,NA
1961,0,NA,95000,0,1,13,3,28,20,3,NA
1960,1,NA,104000,0,1,NA,3,40,40,5,11000
1962,0,0,205200,0,1,5,2,25,16,1,NA
1958,1,0,49000,0,1,NA,2,37,55,1,NA
1959,0,0,97000,0,1,22,1,27,80,3,8000
1961,0,NA,50432,0,0,9,1,16,40,1,NA
1961,1,0,39010,0,1,NA,2,29,40,4,9000
1962,0,0,130000,0,1,22,2,21,16,8,7500
1964,1,0,72000,0,1,8,2,40,45,1,NA
1958,1,0,83016,0,1,NA,3,32,50,1,NA
1960,0,0,127000,0,1,9,3,25,40,3,NA
1962,1,0,70000,0,1,11,2,35,60,1,NA
1963,1,0,1,0,1,NA,1,32,45,1,NA
1959,0,1,43808,0,1,NA,1,18,24,3,NA
1957,0,0,38000,0,1,13,2,17,48,1,NA
1958,1,0,90000,0,1,5,1,24,60,1,NA
1964,0,1,131000,0,1,12,3,24,38,2,1600
1963,1,NA,70000,0,0,10,1,24,56,4,6000
1957,0,0,24864,0,1,1,1,18,NA,1,NA
1963,1,NA,43000,0,1,21,1,23,55,1,NA
1963,0,0,119040,0,1,12,2,21,60,1,NA
1962,0,0,66000,0,1,8,2,25,NA,1,NA
1964,0,0,974100,0,1,NA,2,29,40,1,NA
1958,1,0,497763,0,1,16,3,33,44,7,60000
1961,1,0,497763,0,1,16,2,27,55,4,NA
1961,0,0,43000,0,1,19,1,30,45,3,5500
1964,1,0,36000,0,0,NA,2,25,40,1,800
1960,1,0,114850,0,1,17,1,43,90,5,10000
1963,0,0,497763,0,1,8,2,32,NA,6,12000
1960,0,0,90000,0,1,NA,3,28,12,2,NA
1962,0,0,73000,0,1,17,2,26,45,1,NA
1960,0,0,60000,0,1,14,1,28,79,5,NA
1964,0,0,120000,NA,1,20,2,34,32,4,75000
1964,1,0,182000,0,1,6,2,25,95,2,NA
1964,0,0,1e+05,0,1,8,1,18,36,2,40000
1962,1,0,59275,0,1,19,2,25,NA,4,1600
1960,1,0,44480,0,1,4,1,19,NA,1,NA
1961,1,0,70200,0,1,15,1,20,40,1,NA
1964,1,0,23000,0,1,10,1,18,47,1,2300
1962,0,1,69020,0,1,17,3,23,52,1,NA
1959,1,0,115656,0,1,2,1,22,NA,1,NA
1964,0,0,67301,19,0,NA,1,21,40,1,4000
1962,0,0,40000,0,1,19,1,18,70,1,NA
1959,0,0,160097,0,1,NA,4,18,48,1,NA
1961,1,NA,82500,0,0,NA,1,34,50,1,NA
1963,0,NA,1680,0,1,NA,1,16,60,1,NA
1958,1,0,53588,7,1,NA,2,32,40,1,NA
1957,0,0,9816,0,1,13,1,18,NA,1,8000
1960,1,0,18898,0,0,21,2,27,40,1,NA
1963,0,0,11000,0,1,NA,1,24,40,1,NA
1960,0,0,23000,0,0,19,1,19,40,1,NA
1962,0,0,74000,0,1,15,1,23,40,1,7800
1963,1,0,164927,0,0,19,1,18,45,5,1060
1961,0,0,93000,0,0,NA,2,20,54,2,2200
1964,1,0,40000,0,0,NA,2,21,55,1,NA
1959,1,NA,497763,0,1,14,1,24,40,1,500
1959,1,0,79323,0,0,5,3,30,NA,1,NA
1963,0,0,83300,0,0,5,1,21,NA,1,NA
1962,0,0,13056,10,1,19,1,20,8,2,1512
1958,1,1,131000,0,1,8,1,33,42,5,1500
1959,0,0,1e+05,0,1,19,2,32,NA,5,6000
1959,0,NA,13000,0,1,6,1,20,72,1,20000
1961,0,0,64200,0,1,9,1,25,40,2,2700
1957,0,0,146000,0,1,15,1,31,57,8,3200
1964,1,1,52858,9,1,NA,2,16,15,1,NA
1964,0,1,37000,0,1,15,2,19,40,1,NA
1961,0,0,91000,0,1,9,1,18,40,5,20000
1960,0,0,13440,0,1,15,3,16,NA,1,NA
1962,1,0,52000,0,1,NA,1,27,40,1,NA
1959,0,1,16644,0,1,12,1,20,NA,2,NA
1960,1,0,108000,0,1,13,1,24,40,1,NA
1960,1,0,86020,0,1,NA,2,33,50,1,NA
1962,0,NA,497763,0,0,11,2,17,25,1,6500
1958,0,0,142000,0,1,13,1,26,25,3,2000
1962,1,0,88000,0,1,11,1,30,90,4,3200
1964,1,0,86000,0,1,7,3,36,45,5,12000
1957,0,0,7850,0,1,NA,1,30,40,1,NA
1961,0,0,37240,1,1,NA,1,24,40,1,NA
1958,0,0,52000,0,1,NA,1,39,90,3,NA
1964,0,0,47260,0,1,NA,1,27,40,1,NA
1960,0,0,88000,0,1,21,1,21,35,4,NA
1963,1,0,94000,0,1,17,3,32,45,1,NA
1959,0,0,62400,0,0,13,1,21,40,4,NA
1962,0,0,76000,0,0,10,4,18,NA,1,NA
1964,0,0,23400,0,1,13,1,22,40,2,10000
1957,0,0,51590,4,0,NA,1,36,21,1,NA
1962,1,0,166236,15,0,18,3,26,90,4,9500
1960,0,0,238000,0,1,8,1,28,105,4,8000
1959,0,0,71000,0,1,5,1,34,35,2,NA
1960,0,0,174500,0,1,5,3,24,45,3,NA
1958,0,0,27612,51,1,NA,2,32,60,3,7000
1964,1,0,135230,0,1,12,2,29,45,4,6000
1957,1,0,50036,0,0,4,2,34,NA,2,NA
1960,0,0,185110,0,1,21,1,35,45,4,NA
1957,1,0,92000,0,1,NA,2,28,20,1,NA
1959,0,0,160097,0,1,NA,1,33,2,3,9000
1958,1,0,77000,6,1,6,1,29,110,4,2500
1960,1,0,19000,0,1,NA,1,40,40,4,2400
1959,1,0,203500,0,1,16,2,33,NA,5,2500
1957,0,0,110000,0,1,7,2,30,NA,5,20000
1964,1,NA,52000,0,1,4,2,23,40,1,NA
1959,0,NA,25000,0,1,16,1,23,40,1,NA
1959,0,0,35100,0,1,27,1,33,50,2,NA
1958,0,NA,58400,0,1,13,1,22,40,1,NA
1962,0,0,21000,0,1,14,1,19,55,1,NA
1963,1,0,61191,0,1,20,1,24,30,1,NA
1958,1,0,139000,0,1,7,1,40,35,1,NA
1961,1,0,86000,0,1,16,1,23,62,1,800
1962,0,0,65500,0,1,16,2,22,40,1,NA
1961,1,0,36000,0,1,17,3,31,40,1,NA
1959,1,0,155000,0,1,10,2,27,NA,1,NA
1959,1,NA,70000,0,1,NA,1,25,40,1,NA
1964,0,0,46560,0,1,15,2,21,40,1,NA
1960,1,NA,42000,0,1,19,2,34,40,1,6000
1963,1,0,54000,0,1,NA,1,32,40,1,NA
1964,1,0,108524,0,1,17,2,22,NA,1,NA
1960,1,0,193000,0,1,16,1,33,100,4,NA
1963,1,0,184000,0,1,9,1,30,55,5,1160
1957,0,0,89000,0,1,NA,1,33,40,1,NA
1959,0,0,240000,0,0,NA,4,30,40,1,5000
1962,1,0,177900,0,1,6,2,37,40,5,NA
1964,0,0,80000,0,0,14,2,29,50,5,5000
1962,1,0,130000,0,1,13,2,31,60,5,NA
