"birth_year","male","poverty","family_income","weeks_unemployed","urban","number_of_jobs_ever","number_children","age_at_first_child","hours_worked_in_week","education","educational_loans"
1957,1,0,25000,0,0,NA,1,21,47,1,NA
1962,1,NA,74225,0,1,NA,2,25,38,1,NA
1961,0,0,260000,0,1,14,1,45,50,4,1200
1963,1,0,118000,0,0,6,1,21,80,2,NA
1958,0,0,120150,0,1,9,1,21,41,1,NA
1962,0,NA,32000,0,1,9,2,27,45,4,NA
1957,0,0,61138,0,0,6,1,29,55,5,4000
1957,0,0,134000,0,1,7,1,31,40,1,NA
1962,0,0,50200,0,1,15,2,30,60,5,2500
1963,1,NA,39000,0,1,NA,1,28,40,4,NA
1960,1,0,112500,0,1,14,2,30,40,3,NA
1964,0,NA,22000,0,1,7,1,26,40,1,NA
1963,0,0,60000,0,1,22,2,32,68,4,5000
1958,0,1,11303,31,1,16,2,16,40,4,22000
1960,0,1,6645,21,1,26,1,19,80,5,43000
1964,1,1,152500,0,1,15,2,27,40,1,5000
1963,0,1,8436,0,1,0,2,18,NA,1,NA
1958,0,0,15780,0,1,2,1,30,48,4,1500
1962,1,0,1e+05,6,1,8,1,25,120,1,NA
1960,1,1,114500,0,1,NA,1,21,55,1,NA
1963,0,NA,120000,0,1,14,2,24,40,5,15000
1963,1,NA,97176,0,1,9,2,23,45,1,NA
1962,0,0,77000,0,1,5,1,24,40,1,NA
1963,0,0,130000,0,1,5,2,28,90,3,NA
1962,1,NA,50000,0,1,5,2,34,10,1,NA
1962,0,0,59000,0,1,NA,1,26,40,1,NA
1961,0,NA,98000,0,1,NA,1,18,38,1,NA
1960,0,1,1,0,1,13,1,16,NA,1,NA
1961,0,0,55164,0,0,19,1,17,40,8,NA
1964,1,0,38404,0,0,35,3,14,80,8,NA
1964,1,0,87000,0,0,5,1,22,45,1,NA
1961,0,0,47688,0,1,17,1,18,53,1,NA
1958,1,0,159200,0,1,13,1,23,80,1,NA
1962,1,0,48000,0,1,10,1,27,48,1,NA
1962,0,0,58000,0,1,5,1,36,44,1,NA
1960,1,0,93000,0,1,6,2,27,54,3,NA
1963,1,0,115000,0,1,8,1,26,55,3,NA
1961,0,1,11020,0,1,7,1,29,NA,1,2300
1964,0,0,93000,0,1,17,2,22,80,1,NA
1963,0,NA,78500,0,1,16,2,19,40,1,15000
1964,0,0,74000,0,1,NA,2,18,40,1,NA
1959,1,0,91600,0,1,13,1,40,NA,1,1500
1958,0,1,97557,10,1,NA,3,29,107,1,NA
1963,1,1,96500,0,1,14,1,18,55,1,NA
1960,1,NA,70000,0,0,NA,1,22,40,1,NA
1963,1,0,98000,0,1,NA,2,27,40,1,NA
1959,0,NA,43000,0,1,8,1,25,90,1,NA
1961,1,0,195000,0,1,7,1,32,40,3,NA
1957,1,0,127000,0,1,13,1,22,70,4,NA
1958,1,0,96000,0,1,25,2,16,125,1,NA
1958,1,NA,1,0,1,11,1,30,NA,1,NA
1961,0,0,36184,NA,1,15,1,18,40,1,NA
1960,1,NA,67000,0,1,12,1,29,60,8,NA
1963,0,NA,479983,0,0,NA,2,25,8,1,NA
1959,1,0,62000,0,0,2,1,21,45,1,NA
1963,1,0,134700,0,1,9,4,26,40,4,NA
1964,0,0,273500,0,1,NA,4,25,30,4,NA
1964,1,0,68620,0,1,NA,3,29,50,6,9600
1957,1,NA,210000,0,1,6,1,29,45,5,16000
1958,1,NA,108000,0,1,8,1,38,40,1,6300
1962,1,0,497763,0,1,8,1,25,NA,1,NA
1960,0,0,40000,0,1,NA,2,15,64,1,NA
1960,0,0,52000,0,0,15,1,15,36,1,NA
1957,1,0,30000,0,1,12,2,18,40,1,NA
1959,1,NA,37116,0,1,10,1,26,NA,1,3500
1964,0,0,40028,0,0,NA,2,18,40,1,NA
1962,0,1,114000,0,0,18,2,22,120,5,16000
1962,0,0,48100,0,1,18,1,40,NA,4,12000
1961,0,NA,52000,0,0,NA,2,17,34,1,NA
1959,1,0,62000,0,1,11,1,22,40,1,NA
1962,1,0,100412,0,0,21,1,27,40,1,NA
1957,0,1,15355,0,1,NA,1,24,56,4,NA
1959,1,0,102200,0,0,10,2,39,30,5,2250
1960,0,0,38650,0,0,23,2,38,30,2,NA
1963,1,0,155000,0,1,NA,3,26,40,4,NA
1958,1,0,91000,0,1,9,2,23,40,2,NA
1960,1,NA,62000,0,1,11,1,28,40,1,NA
1960,1,0,62000,0,1,NA,4,19,70,1,NA
1960,1,0,68000,0,1,24,1,30,43,1,NA
1960,0,0,64000,0,1,7,1,25,30,3,NA
1964,0,0,57000,0,0,19,1,20,40,1,NA
1964,0,0,52000,0,1,23,1,27,40,2,20000
1964,1,0,214400,0,0,10,2,18,NA,1,NA
1958,0,0,76000,0,1,NA,2,32,50,1,NA
1957,0,0,126400,0,0,8,3,19,NA,1,NA
1964,1,0,60000,0,0,NA,2,26,88,4,5300
1957,1,0,160097,0,1,NA,3,32,60,4,NA
1963,0,NA,211545,0,1,NA,2,32,31,5,5000
1963,1,0,68800,0,0,6,2,31,NA,2,1300
1963,1,0,174800,0,1,4,1,30,40,4,7000
1960,0,0,253798,0,1,5,1,30,NA,4,NA
1962,1,0,58709,0,1,10,1,38,40,1,NA
1962,1,0,63500,0,1,8,3,35,40,1,NA
1962,0,0,167000,0,0,4,4,26,NA,4,NA
1964,0,1,22000,0,1,10,1,17,65,1,420
1958,1,0,14000,0,1,NA,4,20,80,1,NA
1960,0,NA,13908,0,1,8,3,22,NA,1,NA
1962,0,NA,21000,0,1,6,2,19,40,1,NA
1963,1,0,497763,0,1,3,1,21,40,1,NA
1961,0,NA,70000,0,1,NA,1,23,34,2,NA
1958,1,NA,48000,0,1,NA,1,26,40,1,NA
1957,0,NA,497763,0,1,12,2,28,32,1,NA
1958,0,0,48125,0,1,13,1,26,40,1,NA
1962,0,0,66000,0,1,13,2,31,12,4,NA
1962,0,NA,7260,0,1,14,1,18,NA,1,NA
1963,0,NA,52000,0,1,13,1,23,116,1,NA
1963,1,0,172625,0,1,10,2,35,74,4,2500
1963,0,0,1,0,1,25,1,17,NA,2,NA
1961,0,NA,146300,0,1,8,1,25,40,5,NA
1963,1,NA,115500,0,1,3,2,28,50,1,NA
1962,1,NA,1,0,1,15,2,28,0,3,NA
1958,0,1,36000,0,1,9,1,42,75,1,1674
1959,0,NA,1,4,1,NA,2,18,90,2,NA
1959,0,NA,9240,0,1,NA,2,33,40,1,NA
1964,1,NA,14400,0,1,10,2,22,NA,1,NA
1957,1,NA,75300,0,1,NA,1,32,40,1,NA
1961,1,NA,115000,0,1,8,1,29,40,1,NA
1958,1,NA,37400,0,1,16,1,38,NA,8,25000
1957,0,1,9624,0,1,18,1,35,32,1,2600
1961,0,0,38184,0,1,NA,2,24,30,1,NA
1957,0,0,2e+05,0,1,NA,1,30,40,5,47000
1960,0,0,119000,0,1,15,1,20,40,3,NA
1958,1,0,1e+05,0,1,4,3,36,40,1,NA
1963,1,0,176000,0,1,13,1,31,40,1,NA
1962,0,0,174100,0,1,NA,3,22,40,1,NA
1964,0,0,125000,0,1,9,2,36,NA,1,NA
1957,1,0,52000,0,1,NA,3,15,40,1,NA
1960,0,0,479983,0,1,NA,1,24,6,2,NA
1962,0,NA,115000,0,0,6,1,23,25,4,NA
1963,0,0,153000,0,1,13,2,32,40,4,12500
1960,1,0,53000,0,1,18,2,36,77,1,NA
1958,0,0,160000,0,1,19,2,40,4,3,NA
1960,1,0,210200,0,1,7,2,40,40,1,NA
1961,1,0,24000,0,1,NA,2,23,35,1,4500
1957,1,0,497763,0,1,16,2,37,45,3,2513
1960,0,0,60800,0,1,7,2,18,NA,1,NA
1963,0,0,53000,0,1,10,2,30,48,1,5000
1963,1,NA,52500,0,1,NA,2,25,60,1,NA
1961,1,0,140000,0,1,12,1,44,48,3,1500
1960,1,0,75500,0,1,19,1,45,NA,4,12000
1961,0,0,135100,0,1,15,2,29,45,3,20000
1962,1,0,60000,0,1,10,2,23,40,1,13000
1958,1,0,95000,0,0,14,1,24,56,2,NA
1963,1,0,144852,0,1,22,3,27,76,2,4000
1963,0,0,76000,0,1,NA,1,16,40,1,NA
1957,0,0,245200,0,1,7,1,19,50,6,50000
1963,0,0,107200,0,1,5,3,42,NA,1,NA
1961,0,0,93600,0,1,10,1,30,50,5,NA
1959,0,0,108500,0,1,7,1,26,35,4,NA
1960,1,0,88020,0,1,NA,1,29,40,1,NA
1963,1,0,497763,0,1,4,3,26,NA,1,NA
1959,0,NA,55700,0,1,NA,2,20,40,1,NA
1962,0,0,103020,0,1,4,2,17,40,1,NA
1960,0,0,84985,0,1,4,1,20,40,1,NA
1960,0,1,13200,52,1,8,1,16,NA,1,NA
1963,0,1,1,0,1,NA,3,21,32,1,NA
1961,0,1,42000,0,1,NA,3,20,80,1,NA
1960,1,1,55000,0,1,14,2,18,120,1,NA
1961,0,0,33000,0,1,12,2,20,40,1,NA
1957,0,0,479983,0,0,NA,2,23,10,5,NA
1959,1,1,50,0,1,NA,3,24,40,1,NA
1964,0,NA,18000,0,1,NA,2,32,40,1,NA
1962,0,NA,50100,0,1,NA,1,26,24,3,NA
1960,0,NA,40000,0,1,7,2,24,NA,1,NA
1963,1,NA,150000,0,1,11,2,37,40,5,NA
1961,1,0,42000,0,1,39,2,47,35,1,NA
1962,0,0,85950,0,1,NA,1,20,70,1,4000
1958,0,0,70900,0,1,13,1,20,14,1,NA
1959,0,0,54800,0,0,12,3,27,40,1,NA
1961,1,0,15000,0,0,NA,1,26,3,1,NA
1962,1,0,79064,0,0,6,2,29,48,2,NA
1957,0,0,131000,0,1,6,2,22,40,1,NA
1963,1,0,43400,0,1,23,4,27,NA,1,NA
1958,1,0,25100,0,0,NA,3,24,100,1,NA
1960,1,0,185000,0,1,5,2,31,60,5,6000
1958,0,0,65400,0,1,6,1,19,35,1,NA
1959,0,0,100200,0,1,9,1,28,5,5,NA
1959,0,0,114220,0,1,5,2,32,40,4,NA
1958,0,0,390662,0,1,NA,2,35,20,5,NA
1962,1,1,56325,0,0,6,2,20,48,1,NA
1960,1,0,66702,0,1,10,1,39,40,1,NA
1964,0,0,38000,0,1,NA,1,27,40,1,NA
1960,0,0,98816,0,1,10,1,27,98,5,17000
1958,0,0,52048,7,0,NA,2,22,65,8,NA
1957,0,0,81300,0,0,NA,3,22,48,1,NA
1964,0,0,168000,0,0,6,2,29,48,1,NA
1958,1,0,40200,3,0,NA,1,20,40,1,NA
1961,0,0,80000,0,0,5,1,18,30,1,NA
1960,0,0,497763,0,0,18,4,39,15,5,NA
1958,1,NA,110070,6,1,17,2,38,80,8,NA
1962,1,NA,123300,0,0,4,1,25,40,1,NA
1961,0,0,85000,0,1,24,2,27,110,1,NA
1959,0,NA,116076,0,0,20,2,42,NA,4,10000
1962,1,0,180000,0,1,NA,1,36,40,6,NA
1961,1,0,122000,0,0,5,1,26,40,1,NA
1960,1,0,91300,0,0,7,1,29,55,8,NA
1958,0,0,99000,0,1,5,2,28,37,1,NA
1961,0,0,70000,0,0,9,2,22,40,1,NA
1961,1,0,89000,0,1,7,1,29,40,4,8000
1963,0,0,10320,0,1,16,1,35,NA,1,NA
1962,0,NA,66137,0,1,NA,2,22,38,1,NA
1958,0,NA,59000,0,1,8,2,34,24,1,1800
1960,0,NA,497763,0,0,12,1,28,35,8,2500
1962,0,NA,65000,16,1,9,2,25,25,2,NA
1959,1,0,25519,0,1,NA,1,35,40,3,NA
1960,1,1,130060,0,1,5,1,43,NA,1,5000
1961,0,0,60000,0,1,16,2,34,24,5,10500
1964,0,0,249000,0,1,13,1,29,24,5,NA
1961,0,0,139000,0,1,12,1,23,40,4,1500
1959,1,0,63400,0,1,9,2,29,40,3,NA
1960,1,0,52250,0,1,12,2,34,40,1,NA
1963,0,0,67200,0,1,9,2,23,40,1,NA
1961,1,0,112300,0,1,7,2,23,70,1,NA
1961,1,0,62040,0,0,11,1,29,40,1,NA
1964,1,0,67065,0,0,NA,2,23,98,1,NA
1961,0,0,80500,0,1,NA,2,22,90,3,9300
1962,1,0,98750,0,0,NA,2,26,40,1,NA
1959,0,0,90000,0,1,6,2,24,NA,1,NA
1962,1,0,27000,0,1,NA,1,18,85,1,NA
1963,1,0,103834,0,1,15,2,25,44,1,2525
1961,0,0,62000,0,0,18,2,38,47,2,2500
1961,0,0,84185,0,0,16,2,18,42,1,NA
1961,0,1,7900,0,1,7,1,15,20,1,NA
1960,0,0,497763,0,1,18,1,35,40,4,NA
1964,1,0,99020,0,1,8,2,33,55,4,3000
1962,1,NA,497763,0,0,5,2,30,35,3,NA
1961,0,0,13300,0,1,NA,3,21,55,1,1500
1964,0,0,24000,0,1,NA,2,28,38,4,10000
1957,1,0,172000,0,1,9,2,33,48,4,2500
1960,0,0,56000,0,1,9,1,21,60,1,NA
1960,1,0,93000,0,1,10,1,30,40,1,NA
1964,1,1,42080,0,1,15,1,27,NA,1,NA
1960,1,0,50800,0,1,11,2,25,40,1,NA
1961,1,0,30000,0,0,NA,2,36,70,4,6000
1964,1,0,75000,0,0,NA,1,30,50,1,NA
1959,1,NA,13908,52,1,17,1,38,NA,1,NA
1959,1,0,171810,0,1,17,3,36,125,7,99999
1957,0,0,86000,0,1,30,1,41,24,5,1750
1963,0,0,70810,0,1,17,1,27,40,1,NA
1958,0,0,14366,0,1,NA,1,16,50,5,NA
1962,1,0,199000,0,1,14,4,31,45,5,NA
1961,0,0,110000,0,1,12,2,31,NA,8,10000
1957,1,NA,79000,0,0,14,1,28,42,5,7000
1964,1,1,44000,0,0,12,1,40,60,1,NA
1962,0,0,93192,0,1,11,1,30,40,4,4000
1959,0,NA,8316,0,0,NA,2,20,40,1,NA
1958,0,NA,14520,2,1,NA,2,18,100,1,NA
1962,0,0,10000,11,1,31,1,21,73,2,4800
1962,0,0,160504,0,1,8,1,24,16,1,NA
1964,1,0,29840,0,1,NA,2,22,64,1,873
1961,0,0,198000,0,1,7,1,31,NA,3,2500
1957,0,0,42718,0,1,11,1,25,40,2,NA
1961,0,0,95000,0,0,NA,2,26,25,5,7000
1963,1,0,50000,0,1,NA,4,26,95,4,9000
1962,0,0,77100,0,1,12,3,28,30,2,NA
1963,0,0,83040,0,0,15,1,22,40,1,NA
1959,0,0,23400,0,1,10,1,29,34,1,NA
1958,0,0,90090,52,0,10,1,24,NA,1,NA
1957,0,0,30030,0,0,14,1,30,40,4,NA
1964,1,0,54000,0,1,16,2,22,85,1,NA
1961,0,0,81540,0,0,7,2,27,40,2,2500
1964,1,0,38000,0,1,9,1,27,0,1,NA
1959,1,0,56510,0,1,3,2,29,45,1,NA
1961,0,0,24000,0,1,8,1,23,40,1,NA
1962,0,0,160000,0,0,17,3,35,38,8,3500
1957,0,NA,96000,0,0,8,2,26,82,2,NA
1958,0,NA,58000,0,0,11,1,15,78,1,NA
1958,1,0,93500,0,0,7,1,26,80,1,NA
1960,1,0,62200,0,0,NA,1,26,40,8,NA
1963,1,0,85000,0,1,18,2,39,NA,4,14000
1958,0,NA,90000,0,0,9,1,19,40,1,NA
1962,1,0,260000,0,1,5,2,31,40,7,NA
1958,0,0,97460,0,1,15,2,18,75,4,27200
1959,1,0,56000,0,0,NA,1,30,40,1,NA
1964,0,0,203000,0,1,7,1,30,50,4,NA
1961,1,1,59000,0,0,9,1,28,40,1,NA
1961,0,NA,40792,0,1,20,1,18,NA,1,5400
1960,0,1,150000,0,1,NA,1,21,45,3,600
1962,1,1,97700,0,1,17,2,29,55,1,NA
1958,0,0,133000,0,1,NA,4,26,40,7,49000
1963,0,0,95700,0,1,9,1,35,40,1,NA
1964,1,NA,65000,0,1,19,2,41,64,4,750
1960,0,NA,18800,0,0,NA,2,22,40,1,NA
1957,1,0,115000,0,1,6,1,40,40,1,NA
1961,1,0,92030,0,1,4,1,29,40,1,NA
1962,0,NA,12000,0,0,NA,1,38,40,1,NA
1959,0,0,36100,0,1,NA,2,26,40,1,NA
1960,0,0,250000,0,1,5,2,34,NA,4,3000
1959,0,NA,71172,0,0,NA,1,16,35,1,NA
1963,0,0,174225,0,1,11,2,29,40,5,3100
1962,0,0,96000,0,0,NA,2,28,47,4,2300
1962,1,NA,70200,0,1,13,2,22,24,3,NA
1961,1,NA,109000,0,0,11,2,40,70,4,5000
1962,0,1,27932,0,0,15,2,17,6,1,NA
1963,0,0,4932,0,0,NA,2,24,30,1,NA
1959,1,NA,120000,0,0,6,1,24,45,1,1000
1962,1,NA,121000,0,1,14,3,26,40,2,NA
1960,0,0,91000,0,0,9,1,22,40,3,2500
1957,1,0,61100,0,1,8,1,33,40,1,NA
1964,0,0,120200,0,1,15,2,32,NA,4,6500
1963,1,0,1e+05,0,1,11,1,23,76,1,500
1964,0,0,49496,0,0,7,2,19,NA,1,NA
1963,0,NA,11844,0,1,5,1,22,NA,1,NA
1963,0,0,107000,0,1,9,1,19,32,1,NA
1960,0,NA,26000,0,0,13,2,21,40,1,NA
1958,0,0,39186,0,0,32,1,18,37,1,NA
1964,1,0,93000,0,1,11,3,24,NA,4,1300
1962,1,0,77100,0,0,14,1,25,90,1,NA
1958,1,0,69403,0,0,16,2,37,40,4,2000
1962,0,0,157200,0,0,9,1,30,40,1,NA
1959,1,0,55000,5,1,5,2,27,76,1,NA
1964,0,0,74320,0,0,3,2,29,32,4,1100
1964,1,NA,80000,0,1,11,1,36,90,4,NA
1960,0,NA,80000,0,1,14,2,30,NA,1,NA
1962,1,NA,89000,0,0,NA,3,26,55,4,NA
1960,0,0,120000,0,1,12,2,26,50,5,NA
1959,0,0,44000,0,0,10,5,32,NA,1,NA
1963,0,0,61500,0,0,11,1,17,NA,1,NA
1962,0,NA,1,52,1,16,1,20,NA,1,1000
1961,0,0,76000,0,0,6,2,27,40,1,NA
1961,0,0,68000,0,1,31,1,18,79,1,NA
1963,1,NA,124870,0,0,7,1,24,45,4,NA
1957,0,1,110000,0,1,12,1,26,40,5,NA
1964,0,0,180000,0,0,17,1,39,NA,5,NA
1961,0,NA,207000,0,1,12,3,30,35,3,NA
1964,0,NA,92000,0,1,12,2,32,60,3,NA
1963,0,0,94460,0,1,16,2,26,NA,5,6000
1964,1,0,131000,0,1,11,4,28,45,4,6000
1964,0,0,85000,0,1,NA,3,29,40,4,NA
1963,0,NA,290000,0,0,18,1,25,40,4,9000
1958,1,0,178000,0,0,NA,2,25,40,4,4500
1961,1,0,255000,0,1,8,3,33,80,4,1500
1959,1,0,76120,0,1,NA,1,21,40,2,NA
1957,1,0,83000,0,0,13,1,21,40,1,NA
1963,1,0,19032,0,0,21,2,25,NA,1,700
1961,0,0,25675,3,1,16,2,25,50,1,16000
1959,1,0,25000,0,1,7,1,18,40,1,NA
1960,1,0,80000,0,1,NA,1,28,40,3,NA
1961,1,0,107000,0,1,16,1,32,40,1,NA
1958,1,0,84874,0,1,4,1,24,40,2,NA
1962,1,0,60800,0,1,NA,2,26,40,1,NA
1957,1,1,87366,10,1,21,1,25,100,5,32000
1963,1,1,28800,0,1,16,1,25,40,4,7000
1958,0,1,12000,6,1,NA,1,18,80,1,NA
1958,0,1,20000,0,1,10,1,25,39,2,NA
1959,0,NA,36256,0,1,10,1,20,40,1,NA
1962,1,0,38400,0,1,16,1,24,30,1,NA
1959,1,0,34000,0,0,NA,2,16,116,1,NA
1957,0,0,153000,0,0,4,1,22,40,1,NA
1957,0,NA,87319,0,1,5,1,31,36,5,11000
1964,1,1,85000,0,1,15,2,31,43,3,4000
1964,1,0,132000,0,1,5,2,28,40,1,NA
1963,1,NA,29400,0,1,13,1,38,40,1,NA
1961,1,0,146200,0,1,23,2,27,120,1,NA
1960,1,0,132000,0,0,4,1,31,40,1,200
1960,0,0,123140,0,0,NA,2,28,20,2,NA
1961,1,0,25200,0,1,NA,1,16,50,1,NA
1957,1,0,27200,0,1,NA,1,24,40,1,NA
1962,1,NA,98000,0,1,NA,2,29,120,1,NA
1958,0,0,50000,0,1,14,1,24,85,1,NA
1961,0,0,10248,0,1,5,1,19,NA,1,NA
1959,0,0,20800,0,1,11,2,17,40,1,NA
1961,0,0,96200,0,0,18,1,17,40,1,NA
1959,0,NA,135718,0,0,6,1,16,5,1,NA
1960,0,1,44400,0,1,3,2,27,NA,2,900
1960,0,NA,171000,0,1,8,1,19,50,1,NA
1962,0,0,65000,0,1,NA,2,21,80,1,NA
1962,0,0,128639,0,1,5,2,27,40,1,NA
1963,0,0,60000,0,1,5,4,22,NA,1,NA
1964,0,0,41000,0,0,8,1,19,45,8,NA
1963,0,NA,87000,0,0,11,1,29,38,1,NA
1963,1,0,50000,0,0,3,1,25,NA,1,NA
1960,1,0,50600,0,1,NA,1,29,50,6,NA
1959,1,NA,1,0,0,NA,1,29,40,8,NA
1963,0,NA,41050,0,0,13,1,26,32,2,5000
1962,1,0,126800,0,1,13,3,35,40,1,NA
1963,1,0,45060,0,0,NA,5,19,3,1,NA
1958,0,0,183600,0,1,6,1,26,40,3,4350
1964,0,0,82000,0,1,14,4,28,62,4,NA
1964,0,0,25000,0,0,16,1,23,106,1,NA
1957,1,0,20000,0,0,NA,3,22,40,1,NA
1958,1,NA,59000,0,0,21,3,34,42,8,70000
1960,1,0,28300,0,0,NA,1,26,40,1,800
1963,1,0,130200,0,0,13,2,30,NA,8,21000
1963,1,0,1e+05,0,0,NA,3,27,80,3,6500
1962,1,0,106000,0,0,4,2,24,60,1,NA
1962,1,0,98000,0,0,7,1,29,40,1,NA
1960,0,NA,38000,0,0,22,1,15,35,1,NA
1957,0,0,30000,0,0,11,1,23,40,1,NA
1963,0,0,15140,0,0,13,3,20,24,1,1500
1960,1,NA,25000,0,1,11,1,25,NA,4,7500
1962,1,NA,53060,0,1,6,2,23,40,5,NA
1964,0,NA,90500,0,0,5,2,24,40,1,NA
1964,1,0,63700,0,0,NA,2,28,85,2,NA
1957,1,NA,67000,0,0,2,2,30,110,1,NA
1957,0,NA,5164,0,1,13,1,27,40,1,NA
1962,1,NA,159000,0,1,13,3,33,40,5,5000
1964,0,NA,180000,0,1,NA,1,34,105,3,2500
1963,0,NA,217300,0,0,12,3,26,25,2,4700
1961,0,0,44865,0,1,NA,1,33,76,2,NA
1959,0,NA,145000,0,1,15,1,23,40,4,4000
1962,0,NA,118100,0,0,NA,3,23,50,3,1200
1962,1,NA,87000,0,0,13,2,27,45,2,NA
1963,1,NA,60834,52,1,10,2,28,72,1,NA
1963,1,NA,168000,0,0,NA,2,23,45,5,7800
1962,1,0,86250,0,1,11,1,23,64,2,7500
1962,0,0,43400,47,0,27,1,24,35,1,1500
1964,0,0,29000,0,0,17,2,25,NA,1,NA
1959,0,NA,1,0,0,NA,4,22,NA,1,NA
1960,1,0,38748,0,0,NA,3,22,64,4,6000
1961,1,0,92424,0,0,14,1,24,60,1,1000
1962,0,0,93900,0,1,12,1,23,35,1,NA
1961,1,0,210000,0,0,11,1,17,93,3,NA
1959,0,0,56000,0,0,16,2,27,57,5,2000
1961,0,0,49000,0,1,11,1,27,40,4,5665
1963,0,0,84355,0,1,24,2,25,65,4,7800
1963,0,0,36500,0,1,NA,1,21,40,1,NA
1964,1,0,134316,0,1,6,2,29,50,4,NA
1961,0,0,105265,0,1,10,3,33,35,3,2000
1960,1,0,21200,0,1,NA,2,28,55,1,NA
1960,0,0,90000,0,1,11,1,22,NA,1,NA
1959,0,0,184200,0,1,26,1,24,60,5,NA
1962,1,0,77384,0,1,7,1,27,50,4,1150
1962,1,NA,25000,0,1,8,1,22,NA,1,NA
1961,1,0,28268,0,1,6,2,25,48,1,NA
1959,0,0,68001,0,1,3,1,40,40,1,6000
1960,1,0,120120,0,0,9,1,36,84,1,NA
1962,1,NA,13176,0,0,15,4,29,NA,3,2500
1964,1,0,55000,0,1,21,3,31,45,1,NA
1964,1,0,58844,0,0,NA,1,26,55,1,NA
1960,0,0,84200,0,1,NA,2,26,48,2,5500
1960,0,0,105042,0,0,5,2,28,40,3,NA
1963,0,0,40500,0,0,NA,1,25,NA,1,NA
1958,1,0,188585,0,1,NA,1,22,45,1,NA
1964,0,0,63778,0,0,7,2,20,38,1,NA
1960,0,NA,27800,0,0,NA,1,20,40,1,NA
1961,0,0,28200,0,1,35,2,32,13,5,22000
1964,0,NA,90000,0,1,5,2,31,40,1,NA
1963,1,0,170000,0,1,8,2,36,40,4,7000
1962,1,0,130300,0,1,11,1,29,44,4,10000
1960,1,0,55000,0,0,7,1,31,60,4,2500
1963,0,0,70000,0,1,NA,1,22,40,3,2500
1962,1,0,125242,0,0,11,3,28,65,5,NA
1960,1,1,255000,0,0,9,1,40,NA,2,400
1963,0,1,49700,0,1,NA,2,23,50,4,10000
1963,0,1,21060,0,1,7,2,17,36,1,NA
1961,0,1,64400,0,1,7,1,23,NA,1,NA
1962,1,1,23832,0,0,21,4,19,NA,1,NA
1962,0,1,10236,0,1,12,3,18,NA,1,NA
1959,0,0,26550,0,0,NA,2,27,40,1,NA
1959,0,0,39304,0,1,3,1,20,40,1,NA
1961,0,1,20000,0,1,20,4,18,56,1,NA
1961,0,NA,166000,0,1,12,2,29,40,4,9500
1964,1,1,16824,52,1,16,2,24,70,1,NA
1959,1,0,77700,0,0,42,1,22,95,5,55000
1960,1,0,128000,0,1,NA,1,30,40,1,4200
1959,0,0,90000,0,0,5,1,29,40,1,NA
1962,0,1,91000,0,1,16,1,18,40,1,NA
1959,1,0,19200,0,1,36,2,32,36,2,2638
1963,1,1,42000,0,0,NA,2,23,88,1,2500
1959,0,1,17400,0,0,13,1,22,45,1,NA
1960,0,1,54000,0,1,NA,2,28,60,1,NA
1962,0,1,167000,0,0,10,1,38,50,4,1800
1960,1,1,110900,0,1,18,1,38,120,4,NA
1959,0,NA,44500,0,1,NA,1,28,40,5,2000
1962,0,1,47848,0,1,12,1,29,40,1,NA
1964,1,1,40592,0,0,5,2,27,50,1,NA
1964,0,1,27000,0,1,5,1,19,40,1,NA
1959,0,0,1,13,1,NA,2,28,28,3,NA
1961,1,0,84000,0,1,14,1,44,90,4,NA
1963,1,0,497763,0,1,19,3,28,15,5,4800
1963,0,0,30050,0,0,NA,1,33,76,2,20000
1962,0,NA,56900,0,0,17,1,25,35,4,6400
1962,0,NA,104968,0,0,6,2,29,40,4,6500
1964,0,NA,55800,0,1,8,1,25,40,4,2500
1957,1,0,78000,0,0,2,1,19,40,1,NA
1957,0,0,78000,0,0,4,1,19,40,2,NA
1962,0,0,2400,0,1,7,2,18,40,1,4000
1959,1,0,68000,0,0,5,3,31,41,1,NA
1957,0,0,64940,NA,0,2,1,24,NA,1,NA
1958,1,NA,49000,0,0,NA,2,23,48,1,NA
1958,0,NA,36590,5,1,16,1,21,40,1,NA
1964,1,1,64000,0,0,14,1,30,45,2,NA
1962,1,0,1e+05,0,0,17,2,29,50,2,NA
1964,1,1,80500,0,0,18,2,28,58,2,1600
1959,0,1,69000,0,1,5,1,24,48,4,NA
1960,0,1,181000,0,1,10,2,20,40,4,NA
1963,1,0,53000,0,0,19,1,23,45,1,NA
1961,1,0,45000,0,1,7,1,35,25,1,1000
1960,0,0,55000,0,0,13,1,19,40,8,NA
1964,1,1,40000,3,0,17,2,28,100,1,NA
1962,1,1,80000,0,0,NA,1,21,60,1,NA
1960,0,NA,27600,0,1,NA,4,17,80,1,284
1958,0,NA,12508,0,0,5,2,20,NA,1,NA
1959,1,0,15628,0,0,NA,3,21,45,1,NA
1963,1,0,91544,0,0,23,1,28,42,1,NA
1961,1,0,68000,0,0,9,3,17,40,1,NA
1962,0,0,148300,0,0,9,2,27,43,4,1054
1964,0,NA,63920,NA,0,8,2,18,10,1,NA
1962,0,0,80000,0,0,5,1,33,20,1,NA
1963,1,0,47022,20,0,9,1,28,NA,1,NA
1961,0,NA,440692,0,1,NA,2,25,100,5,NA
1964,1,0,86000,0,0,16,1,22,86,1,NA
1963,0,0,93700,52,1,17,2,24,40,1,NA
